Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
12-May-2026,auth,612,25,152,52,374,9,,,11-May-2026,auth,612,25,152,52,374,9,,,18-March-2026,adminui,16,16,0,0,0,0
12-May-2026,idrepo,414,339,0,43,12,20,,,11-May-2026,idrepo,414,339,0,43,12,20,,,,,,,,,,
12-May-2026,masterdata-ara,945,894,0,1,15,35,,,11-May-2026,masterdata-ara,945,894,0,1,15,35,,,,,,,,,,
12-May-2026,masterdata-eng,945,922,0,1,0,22,,,11-May-2026,masterdata-eng,945,922,0,1,0,22,,,,,,,,,,
12-May-2026,masterdata-fra,945,906,0,1,15,23,,,11-May-2026,masterdata-fra,945,906,0,1,15,23,,,,,,,,,,
12-May-2026,partner,511,351,118,28,2,12,,,11-May-2026,partner,511,351,118,28,2,12,,,,,,,,,,
12-May-2026,prereg,288,84,148,45,2,9,,,11-May-2026,prereg,288,84,148,45,2,9,,,,,,,,,,
12-May-2026,dsl,230,11,69,117,0,0,,,11-May-2026,dsl,230,11,69,117,0,0,,,,,,,,,,
