Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
20-April-2026,auth,254,140,72,42,0,0,,,17-April-2026,esignet,375,268,47,33,27,0
20-April-2026,esignet,375,263,51,34,27,0,,,17-April-2026,injiverify,53,0,23,30,0,0
20-April-2026,idrepo,152,101,0,0,51,0,,,17-April-2026,prereg,104,3,70,30,0,1
20-April-2026,injiverify,53,0,23,30,0,0,,,17-April-2026,residentui,33,12,5,16,0,0
20-April-2026,mimoto,79,66,0,1,10,2,,,,,,,,,,
20-April-2026,prereg,104,3,70,30,0,1,,,,,,,,,,
20-April-2026,residentui,33,12,5,16,0,0,,,,,,,,,,
