Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
24-April-2026,auth,612,598,0,0,5,9,,,23-April-2026,auth,612,598,0,0,5,9,,,22-April-2026,auth,612,598,0,0,5,9
24-April-2026,idrepo,414,336,0,0,78,0,,,23-April-2026,idrepo,414,336,0,0,78,0,,,22-April-2026,idrepo,414,336,0,0,78,0
24-April-2026,masterdata-ara,945,929,0,1,15,0,,,23-April-2026,masterdata-ara,945,929,0,1,15,0,,,22-April-2026,masterdata-ara,945,929,0,1,15,0
24-April-2026,masterdata-eng,945,944,0,1,0,0,,,23-April-2026,masterdata-eng,945,944,0,1,0,0,,,22-April-2026,masterdata-eng,945,944,0,1,0,0
24-April-2026,masterdata-fra,945,929,0,1,15,0,,,23-April-2026,masterdata-fra,945,929,0,1,15,0,,,22-April-2026,masterdata-fra,945,929,0,1,15,0
24-April-2026,partner,1586,1574,0,12,0,0,,,23-April-2026,partner,1586,1574,0,12,0,0,,,22-April-2026,partner,1561,1557,0,4,0,0
24-April-2026,prereg,288,282,0,0,2,4,,,23-April-2026,prereg,288,282,0,0,2,4,,,22-April-2026,prereg,288,282,0,0,2,4
24-April-2026,resident,1142,1121,15,6,0,0,,,23-April-2026,resident,1142,1122,15,5,0,0,,,22-April-2026,resident,1142,1123,15,4,0,0
